"critic_score","user_score","critic_count","user_count","score_id"
92,8.9,33,71,1028
54,6.5,83,1074,1029
0,0,0,0,1030
0,0,0,0,1031
78,8.1,41,31,1032
78,7.9,18,27,1033
79,7.1,51,453,1034
0,0,0,0,1035
61,5.4,60,575,1036
0,0,0,0,1037
82,6.3,9,101,1038
91,7.6,39,26,1039
80,7.7,55,134,1040
78,2.5,26,5664,1041
88,7.9,56,815,1042
0,0,0,0,1043
89,8.9,25,43,1044
84,9.1,57,81,1045
83,8.7,25,35,1046
0,0,0,0,1047
65,0,10,0,1048
0,0,0,0,1049
0,0,0,0,1050
20,1.9,13,41,1051
0,8.4,0,9,1052
95,8.4,54,937,1053
0,0,0,0,1054
87,8.6,18,23,1055
74,5.3,17,77,1056
71,4.5,94,5096,1057
0,0,0,0,1058
0,7.8,0,4,1059
82,8.8,59,64,1060
94,8.5,27,1863,1061
0,0,0,0,1062
0,0,0,0,1063
0,0,0,0,1064
0,0,0,0,1065
64,7.1,8,7,1066
53,6.9,15,28,1067
0,0,0,0,1068
96,9.4,82,767,1069
63,0,11,0,1070
37,0,4,0,1071
64,5.9,62,104,1072
0,0,0,0,1073
0,0,0,0,1074
78,8.5,58,301,1075
82,7.9,50,135,1076
0,0,0,0,1077
0,0,0,0,1078
90,7.9,70,2280,1079
0,0,0,0,1080
79,8.2,20,25,1081
92,9.1,44,200,1082
67,8.5,32,12,1083
73,7.9,35,46,1084
93,9.1,41,125,1085
90,6.8,14,4,1086
83,8.9,40,106,1087
0,0,0,0,1088
87,8.3,10,36,1089
0,0,0,0,1090
0,0,0,0,1091
87,7.9,41,597,1092
84,7.8,28,13,1093
94,8.8,15,81,1094
83,7.9,37,24,1095
86,7.9,68,1346,1096
71,9,9,85,1097
79,8.2,103,2161,1098
44,8,17,41,1099
0,0,0,0,1100
93,8.3,35,33,1101
78,8.7,28,22,1102
83,9.2,44,19,1103
81,6.5,42,325,1104
83,8.3,22,28,1105
79,7.2,59,114,1106
72,8.4,29,71,1107
89,8.8,69,1940,1108
0,0,0,0,1109
77,8.5,49,156,1110
71,7.9,33,51,1111
0,0,0,0,1112
56,6.7,24,18,1113
77,6.3,52,82,1114
79,8.3,64,544,1115
0,0,0,0,1116
68,7.2,38,56,1117
0,0,0,0,1118
72,7.6,76,233,1119
0,0,0,0,1120
0,0,0,0,1121
0,0,0,0,1122
88,8.9,18,18,1123
0,0,0,0,1124
83,8.5,51,120,1125
82,7.5,15,383,1126
92,9.1,42,93,1127
70,8.1,98,2652,1128
89,8.7,39,121,1129
89,8.8,23,40,1130
0,3,0,40,1131
81,5.2,29,1651,1132
90,8.8,19,53,1133
88,8.8,29,35,1134
86,7.8,80,869,1135
84,8,65,131,1136
0,0,0,0,1137
74,3.1,50,69,1138
61,7.9,28,69,1139
83,7.7,22,262,1140
0,0,0,0,1141
0,4.5,0,445,1142
92,8.4,35,107,1143
80,7.9,44,50,1144
77,8.7,33,20,1145
0,0,0,0,1146
0,0,0,0,1147
76,8.7,39,55,1148
0,0,0,0,1149
81,6.7,77,559,1150
69,8,40,37,1151
64,0,5,0,1152
0,0,0,0,1153
0,0,0,0,1154
0,0,0,0,1155
81,8,74,267,1156
86,9.2,17,326,1157
72,7.8,49,125,1158
0,4.2,0,24,1159
83,7.5,24,36,1160
94,8.7,12,850,1161
